time,dir,queue,vehicles,mean_speed
97.0,W,0,1,57.51
97.0,N,0,2,64.97
97.0,E,0,1,57.15
97.0,S,0,3,56.68
98.0,W,0,1,59.02
98.0,N,0,3,73.02
98.0,E,0,1,58.43
98.0,S,0,2,58.44
99.0,W,0,1,60.98
99.0,N,0,3,75.84
99.0,E,0,1,58.7
99.0,S,0,2,55.75
100.0,W,0,1,61.11
100.0,N,0,3,77.68
100.0,E,0,1,57.96
100.0,S,0,1,58.33
101.0,W,0,1,62.18
101.0,N,0,3,70.95
101.0,E,0,1,58.75
101.0,S,0,1,58.39
102.0,W,0,2,58.97
102.0,N,0,3,74.07
102.0,E,0,1,58.54
102.0,S,0,1,59.07
103.0,W,0,2,55.92
103.0,N,0,3,77.4
103.0,E,0,1,59.09
103.0,S,0,1,58.45
104.0,W,0,3,55.01
104.0,N,0,2,81.76
104.0,E,0,1,58.32
104.0,S,0,1,59.21
105.0,W,0,2,57.71
105.0,N,0,1,85.82
105.0,E,0,1,58.87
105.0,S,0,2,50.29
106.0,W,0,3,55.68
106.0,N,0,1,94.92
106.0,E,0,0,60.01
106.0,S,0,1,53.23
107.0,W,0,3,50.82
107.0,N,0,1,96.28
107.0,E,0,0,60.01
107.0,S,0,1,54.46
108.0,W,0,3,46.05
108.0,N,0,2,85.15
108.0,E,0,0,60.01
108.0,S,0,1,56.76
109.0,W,0,1,55.28
109.0,N,0,2,83.12
109.0,E,0,1,60.03
109.0,S,0,1,58.36
110.0,W,0,1,51.7
110.0,N,0,1,93.38
110.0,E,0,1,59.44
110.0,S,0,1,60.04
111.0,W,0,2,53.34
111.0,N,0,1,90.92
111.0,E,0,1,60.32
111.0,S,0,1,59.58
112.0,W,0,2,51.68
112.0,N,0,0,100.01
112.0,E,0,1,60.14
112.0,S,0,1,59.48
113.0,W,1,2,43.13
113.0,N,0,0,100.01
113.0,E,0,1,59.64
113.0,S,0,1,59.66
114.0,W,1,3,33.85
114.0,N,0,0,100.01
114.0,E,0,1,59.8
114.0,S,0,2,50.39
115.0,W,1,5,42.54
115.0,N,0,0,100.01
115.0,E,0,1,60.15
115.0,S,0,2,52.0
116.0,W,1,5,42.61
116.0,N,0,0,100.01
116.0,E,0,1,59.57
116.0,S,0,2,54.19
117.0,W,1,6,44.31
117.0,N,0,0,100.01
117.0,E,0,2,58.31
117.0,S,0,2,56.58
118.0,W,2,7,47.22
118.0,N,0,0,100.01
118.0,E,0,4,56.14
118.0,S,0,2,57.24
119.0,W,2,6,42.79
119.0,N,0,0,100.01
119.0,E,0,4,54.0
119.0,S,0,1,59.44
120.0,W,2,6,38.58
120.0,N,0,0,100.01
120.0,E,0,4,51.96
120.0,S,0,1,59.23
121.0,W,2,6,34.46
121.0,N,0,0,100.01
121.0,E,0,4,51.23
121.0,S,0,2,53.09
122.0,W,2,6,31.62
122.0,N,0,0,100.01
122.0,E,0,4,51.29
122.0,S,0,2,51.26
123.0,W,3,6,30.74
123.0,N,0,0,100.01
123.0,E,1,4,50.66
123.0,S,0,2,56.04
124.0,W,4,6,30.17
124.0,N,0,1,92.15
124.0,E,1,4,50.03
124.0,S,0,2,56.86
125.0,W,6,6,30.02
125.0,N,0,1,93.6
125.0,E,1,4,50.52
125.0,S,0,2,58.13
126.0,W,6,6,30.01
126.0,N,0,1,95.03
126.0,E,1,4,49.5
126.0,S,0,2,58.99
127.0,W,6,6,30.01
127.0,N,0,1,90.98
127.0,E,1,3,45.35
127.0,S,0,2,58.77
128.0,W,6,7,34.35
128.0,N,0,1,86.93
128.0,E,1,3,40.76
128.0,S,0,1,59.04
129.0,W,6,7,34.18
129.0,N,0,0,100.01
129.0,E,1,4,42.89
129.0,S,0,1,58.52
130.0,W,6,7,33.23
130.0,N,0,1,91.9
130.0,E,1,4,39.12
130.0,S,0,1,58.77
131.0,W,6,7,32.3
131.0,N,0,1,93.68
131.0,E,1,4,38.67
131.0,S,0,1,59.14
132.0,W,6,8,23.31
132.0,N,0,1,95.09
132.0,E,3,4,38.36
132.0,S,0,1,58.19
133.0,W,6,9,27.35
133.0,N,0,1,96.88
133.0,E,3,4,38.34
133.0,S,0,1,58.94
134.0,W,6,9,28.55
134.0,N,0,0,100.01
134.0,E,3,4,37.94
134.0,S,0,1,58.98
135.0,W,6,9,30.34
135.0,N,0,0,100.01
135.0,E,3,4,36.61
135.0,S,0,1,56.5
136.0,W,7,9,30.08
136.0,N,0,0,100.01
136.0,E,3,4,34.58
136.0,S,0,1,52.53
137.0,W,7,9,30.1
137.0,N,0,0,100.01
137.0,E,1,4,33.98
137.0,S,0,0,60.01
138.0,W,5,8,31.5
138.0,N,0,0,100.01
138.0,E,0,2,42.69
138.0,S,0,1,51.82
139.0,W,3,8,32.24
139.0,N,0,1,81.8
139.0,E,0,2,41.7
139.0,S,0,1,53.77
140.0,W,2,6,32.35
140.0,N,0,1,83.16
140.0,E,0,4,32.78
140.0,S,0,1,56.11
141.0,W,0,7,29.61
141.0,N,0,1,84.62
141.0,E,0,4,36.47
141.0,S,0,1,57.31
142.0,W,0,5,33.15
142.0,N,0,2,79.6
142.0,E,0,6,43.08
142.0,S,0,1,58.66
143.0,W,0,6,32.44
143.0,N,0,2,73.53
143.0,E,0,6,48.73
143.0,S,0,1,59.98
144.0,W,0,6,38.37
144.0,N,0,2,77.56
144.0,E,0,7,56.3
144.0,S,0,1,60.65
145.0,W,0,4,41.48
145.0,N,0,2,68.97
145.0,E,0,7,57.62
145.0,S,0,1,60.49
146.0,W,0,2,52.42
146.0,N,0,2,72.15
146.0,E,0,9,57.84
146.0,S,0,1,61.09
147.0,W,0,1,60.34
147.0,N,0,2,76.4
147.0,E,0,9,58.54
147.0,S,0,1,61.11
148.0,W,0,1,61.66
148.0,N,0,2,78.67
148.0,E,0,11,58.41
148.0,S,0,1,61.07
149.0,W,0,1,60.88
149.0,N,0,2,81.19
149.0,E,0,11,55.31
149.0,S,0,1,59.83
150.0,W,0,1,61.67
150.0,N,0,2,83.17
150.0,E,0,12,53.54
150.0,S,0,1,57.03
151.0,W,0,1,61.11
151.0,N,0,2,85.47
151.0,E,0,11,52.89
151.0,S,0,1,53.32
152.0,W,0,0,60.01
152.0,N,0,1,88.53
152.0,E,0,10,52.19
152.0,S,0,1,49.27
153.0,W,0,0,60.01
153.0,N,0,1,90.41
153.0,E,0,8,51.48
153.0,S,0,1,45.22
154.0,W,0,1,60.04
154.0,N,0,0,100.01
154.0,E,0,9,52.2
154.0,S,1,1,45.01
155.0,W,0,1,59.95
155.0,N,0,0,100.01
155.0,E,0,9,51.28
155.0,S,1,1,45.01
156.0,W,0,2,60.22
156.0,N,0,0,100.01
156.0,E,0,9,50.09
156.0,S,1,1,45.01
157.0,W,0,2,60.52
157.0,N,0,0,100.01
157.0,E,1,8,46.97
157.0,S,1,2,35.02
158.0,W,0,3,61.16
158.0,N,0,0,100.01
158.0,E,1,8,45.61
158.0,S,1,2,36.87
159.0,W,0,2,60.63
159.0,N,0,1,92.71
159.0,E,1,7,42.0
159.0,S,1,2,38.48
160.0,W,0,2,60.03
160.0,N,0,1,94.71
160.0,E,1,7,39.6
160.0,S,1,3,45.19
161.0,W,0,2,56.24
161.0,N,0,2,84.96
161.0,E,2,7,36.18
