time,dir,queue,vehicles,mean_speed
141.0,N,0,0,100.01
141.0,E,20,29,20.98
141.0,S,0,1,59.21
142.0,W,8,17,31.73
142.0,N,0,0,100.01
142.0,E,18,30,22.37
142.0,S,0,1,58.67
143.0,W,6,15,31.84
143.0,N,0,0,100.01
143.0,E,16,30,24.92
143.0,S,0,1,59.17
144.0,W,4,16,31.48
144.0,N,0,0,100.01
144.0,E,15,31,27.26
144.0,S,0,1,58.48
145.0,W,2,13,32.79
145.0,N,0,0,100.01
145.0,E,13,30,28.98
145.0,S,0,1,58.41
146.0,W,2,13,36.15
146.0,N,0,1,80.32
146.0,E,13,30,29.67
146.0,S,0,1,58.44
147.0,W,0,12,38.0
147.0,N,0,1,82.43
147.0,E,12,31,29.54
147.0,S,0,0,60.01
148.0,W,0,10,37.98
148.0,N,0,1,84.44
148.0,E,11,31,29.53
148.0,S,0,0,60.01
149.0,W,0,9,38.83
149.0,N,0,1,85.75
149.0,E,10,31,30.83
149.0,S,0,0,60.01
150.0,W,0,11,34.58
150.0,N,0,1,88.05
150.0,E,8,30,31.48
150.0,S,0,0,60.01
151.0,W,0,11,37.12
151.0,N,0,1,89.36
151.0,E,8,29,31.46
151.0,S,0,1,52.24
152.0,W,0,11,37.25
152.0,N,0,1,90.68
152.0,E,8,29,31.58
152.0,S,0,1,53.88
153.0,W,1,12,37.0
153.0,N,0,0,100.01
153.0,E,8,27,29.94
153.0,S,0,1,55.13
154.0,W,2,11,36.47
154.0,N,0,1,82.63
154.0,E,7,26,31.07
154.0,S,0,1,56.53
155.0,W,2,11,35.62
155.0,N,0,1,84.31
155.0,E,9,25,30.16
155.0,S,0,1,58.68
156.0,W,1,10,36.08
156.0,N,0,3,67.73
156.0,E,8,25,32.14
156.0,S,0,1,60.11
157.0,W,0,8,36.79
157.0,N,0,3,71.31
157.0,E,10,25,32.03
157.0,S,0,1,60.84
158.0,W,0,7,37.01
158.0,N,0,3,72.87
158.0,E,9,24,30.43
158.0,S,0,1,61.51
159.0,W,1,7,33.5
159.0,N,0,3,80.87
159.0,E,10,26,28.51
159.0,S,0,1,61.75
160.0,W,0,7,36.61
160.0,N,0,2,81.79
160.0,E,11,25,27.87
160.0,S,0,1,61.49
161.0,W,0,6,38.11
161.0,N,0,4,70.59
161.0,E,11,25,26.44
161.0,S,0,1,60.77
162.0,W,0,5,37.07
162.0,N,0,3,69.88
162.0,E,14,26,24.96
162.0,S,0,1,60.96
163.0,W,0,4,38.77
163.0,N,0,3,72.6
163.0,E,14,26,22.11
163.0,S,0,1,56.91
164.0,W,0,3,41.3
164.0,N,0,3,71.83
164.0,E,14,27,21.21
164.0,S,0,1,53.06
165.0,W,0,2,39.86
165.0,N,0,3,75.75
165.0,E,13,26,20.64
165.0,S,0,0,60.01
166.0,W,0,3,44.31
166.0,N,0,2,74.23
166.0,E,9,26,19.97
166.0,S,0,0,60.01
167.0,W,0,3,38.04
167.0,N,0,2,77.8
167.0,E,10,26,19.29
167.0,S,0,0,60.01
168.0,W,0,3,38.93
168.0,N,0,1,89.79
168.0,E,10,26,19.31
168.0,S,0,0,60.01
169.0,W,0,3,38.29
169.0,N,0,2,81.19
169.0,E,11,26,17.5
169.0,S,0,0,60.01
170.0,W,1,3,39.52
170.0,N,0,1,83.25
170.0,E,13,26,17.26
170.0,S,0,0,60.01
171.0,W,1,3,37.7
171.0,N,0,1,85.25
171.0,E,13,26,16.08
171.0,S,0,1,51.23
172.0,W,1,3,35.08
172.0,N,0,1,86.46
172.0,E,15,26,14.79
172.0,S,0,1,52.87
173.0,W,1,3,31.61
173.0,N,0,1,88.05
173.0,E,16,26,12.34
173.0,S,0,1,54.98
174.0,W,1,3,29.43
174.0,N,0,1,90.31
174.0,E,15,26,10.17
174.0,S,0,1,57.06
175.0,W,2,4,38.18
175.0,N,0,0,100.01
175.0,E,12,26,9.13
175.0,S,0,1,59.21
176.0,W,2,4,37.51
176.0,N,0,1,92.74
176.0,E,12,26,7.63
176.0,S,0,1,59.94
177.0,W,2,3,39.83
177.0,N,0,1,94.13
177.0,E,13,26,5.16
177.0,S,0,1,59.35
178.0,W,2,3,37.46
178.0,N,0,1,92.17
178.0,E,16,26,2.99
178.0,S,0,1,59.89
179.0,W,2,3,35.06
179.0,N,0,1,88.23
179.0,E,17,26,1.63
179.0,S,0,1,59.91
180.0,W,2,3,32.66
180.0,N,0,1,84.25
180.0,E,18,26,0.78
180.0,S,0,1,59.06
181.0,W,0,1,45.1
181.0,N,0,0,100.01
181.0,E,16,24,0.81
181.0,S,0,1,59.98
182.0,W,0,1,46.05
182.0,N,0,2,58.24
182.0,E,15,24,1.33
182.0,S,0,2,48.76
183.0,W,0,1,48.12
183.0,N,0,2,61.8
183.0,E,15,24,1.92
183.0,S,0,2,50.73
184.0,W,0,1,47.77
184.0,N,0,2,64.94
184.0,E,14,22,1.54
184.0,S,0,2,52.45
185.0,W,0,1,52.67
185.0,N,0,4,66.39
185.0,E,10,22,1.79
185.0,S,0,1,54.86
186.0,W,0,1,53.88
186.0,N,0,4,70.36
186.0,E,8,22,2.66
186.0,S,0,1,56.74
187.0,W,0,1,56.1
187.0,N,0,5,72.66
187.0,E,8,22,4.88
187.0,S,0,1,58.7
188.0,W,0,1,57.56
188.0,N,0,5,76.31
188.0,E,5,21,6.28
188.0,S,0,1,58.68
189.0,W,0,2,59.73
189.0,N,0,4,77.96
189.0,E,6,22,9.82
189.0,S,0,1,59.15
190.0,W,0,2,60.56
190.0,N,0,3,79.28
190.0,E,7,21,12.06
190.0,S,0,1,58.48
191.0,W,0,1,60.99
191.0,N,0,1,89.69
191.0,E,8,21,14.23
191.0,S,0,2,50.17
192.0,W,0,1,58.07
192.0,N,0,1,91.85
192.0,E,9,20,22.92
192.0,S,0,2,50.95
193.0,W,0,1,54.31
193.0,N,0,0,100.01
193.0,E,11,20,18.72
193.0,S,0,2,52.58
194.0,W,0,1,50.85
194.0,N,0,0,100.01
194.0,E,11,20,29.3
194.0,S,0,2,54.2
195.0,W,0,0,60.01
195.0,N,0,1,91.96
195.0,E,13,20,30.04
195.0,S,0,2,56.02
196.0,W,0,0,60.01
196.0,N,0,1,94.17
196.0,E,14,20,35.87
196.0,S,0,2,56.66
