time,dir,queue,vehicles,mean_speed,lane_count,lane_configs,bus_count,bus_routes
328.0,N,0,1,88.62,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
328.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
328.0,S,0,2,59.66,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
329.0,W,0,4,51.58,4,L0(s)|L1(lst) / L0(s)|L1(s),2,bus_night_r5.9:[25 edges]; bus_night_r5.8:[25 edges]
329.0,N,0,1,89.61,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
329.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
329.0,S,0,2,59.79,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
330.0,W,0,3,50.66,4,L0(s)|L1(lst) / L0(s)|L1(s),2,bus_night_r5.9:[25 edges]; bus_night_r5.8:[25 edges]
330.0,N,0,1,90.61,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
330.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
330.0,S,0,2,57.79,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
331.0,W,0,2,51.89,4,L0(s)|L1(lst) / L0(s)|L1(s),1,bus_night_r5.9:[25 edges]
331.0,N,0,2,87.51,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
331.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
331.0,S,0,2,54.68,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
332.0,W,0,1,53.93,4,L0(s)|L1(lst) / L0(s)|L1(s),1,bus_night_r5.9:[25 edges]
332.0,N,0,2,89.61,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
332.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
332.0,S,0,1,59.69,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
333.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
333.0,N,0,2,93.13,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
333.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
333.0,S,0,1,59.47,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
334.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
334.0,N,0,2,91.79,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
334.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
334.0,S,0,1,57.81,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
335.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
335.0,N,0,2,88.26,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
335.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
335.0,S,0,1,55.39,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
336.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
336.0,N,0,1,91.51,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
336.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
336.0,S,0,1,55.25,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
337.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
337.0,N,0,1,88.9,6,L0(s)|L1(s)|L2(s) / L0(s)|L1(s)|L2(l),0,
337.0,E,0,0,0,5,L0(s)|L1(s)|L2(s) / L0(s)|L1(ls),0,
337.0,S,0,0,0,6,L0(rs)|L1(s)|L2(lt) / L0(s)|L1(s)|L2(s),0,
338.0,W,0,0,0,4,L0(s)|L1(lst) / L0(s)|L1(s),0,
